Iteration;Long01;Long012;Long02;Long0105
236;951;953;1128;1019
237;951;949;1128;1019
238;955;949;1134;1018
239;955;949;1134;1018
240;948;949;1134;1007
241;947;949;1133;1007
242;947;949;1125;1005
243;936;951;1124;1003
244;936;954;1124;1003
245;935;951;1124;1005
246;932;940;1122;1002
247;933;940;1114;1008
248;933;940;1114;1007
249;933;940;1114;1007
250;930;940;1106;1008
251;930;940;1106;1010
252;924;939;1105;1007
253;926;939;1104;1007
254;926;940;1104;1007
255;928;940;1103;1004
256;919;940;1103;1004
257;919;940;1103;1004
258;918;941;1103;1003
259;918;941;1103;1003
260;918;941;1103;998
261;915;941;1103;998
262;909;938;1103;988
263;908;938;1103;988
264;908;937;1103;989
265;908;926;1105;978
266;906;926;1107;978
267;904;927;1103;978
268;896;927;1103;978
269;898;924;1103;978
270;897;918;1100;978
271;897;918;1098;975
272;891;917;1094;975
273;890;917;1094;975
274;895;915;1094;975
275;892;909;1085;977
276;892;907;1085;975
277;892;902;1083;962
278;892;907;1087;962
279;895;908;1087;961
280;894;908;1086;961
281;894;908;1088;961
282;897;899;1088;958
283;899;903;1088;962
284;899;903;1088;960
285;901;901;1088;960
286;902;902;1088;960
287;894;902;1088;960
288;894;901;1089;960
289;894;901;1086;960
290;894;901;1091;956
291;896;901;1080;956
292;896;901;1070;946
293;897;901;1067;943
294;897;901;1065;943
295;896;901;1065;943
296;896;901;1065;942
297;895;901;1059;946
298;892;899;1058;948
299;887;899;1058;949
300;888;888;1058;949
301;888;888;1059;949
302;889;888;1057;948
303;889;888;1045;943
304;889;888;1039;943
305;894;888;1038;943
306;892;887;1037;938
307;885;887;1042;935
308;882;888;1043;935
309;882;888;1043;935
310;882;889;1041;935
311;881;889;1040;934
312;881;889;1040;928
313;881;889;1040;928
314;881;875;1041;928
315;882;875;1041;928
316;883;875;1041;920
317;883;872;1034;920
318;883;874;1034;920
319;873;874;1031;920
320;866;871;1029;916
321;863;872;1029;916
322;862;872;1029;911
323;857;865;1030;904
324;854;865;1030;903
325;854;865;1028;904
326;854;865;1021;900
327;854;865;1011;894
328;851;865;1011;894
329;847;865;1011;889
330;846;865;1004;890
331;846;865;997;890
332;846;865;998;889
333;846;863;999;889
334;;;;894
