Dateiname,StartTemperatur,CoolingRate,IterationsAnzahl,Score
long01,1000.0,0.9,1111,773.0
long01,1000.0,0.8,1250,777.0
long01,1000.0,0.7000000000000001,1428,770.0
long01,1000.0,0.6000000000000001,1666,751.0
long01,1000.0,0.5000000000000001,1999,774.0
long01,1000.0,0.40000000000000013,2499,760.0
long01,1000.0,0.30000000000000016,3333,755.0
long01,1000.0,0.20000000000000015,4999,770.0
long01,1000.0,0.10000000000000014,9999,755.0
long01,1000.0,1.0,1000,775.0
long01,900.0,1.0,900,781.0
long01,800.0,1.0,800,774.0
long01,700.0,1.0,700,770.0
long01,600.0,1.0,600,771.0
long01,500.0,1.0,500,773.0
long01,400.0,1.0,400,770.0
long01,300.0,1.0,300,771.0
long01,200.0,1.0,200,779.0
long01,100.0,1.0,100,780.0
long01,500.0,0.5,1000,776.0
long01,500.0,0.45,1111,772.0
long01,500.0,0.4,1250,763.0
long01,500.0,0.35000000000000003,1428,763.0
long01,500.0,0.30000000000000004,1666,770.0
long01,500.0,0.25000000000000006,1999,774.0
long01,500.0,0.20000000000000007,2499,761.0
long01,500.0,0.15000000000000008,3333,771.0
long01,500.0,0.10000000000000007,4999,767.0
long01,500.0,0.05000000000000007,9999,754.0
long01,500.0,0.5,1000,782.0
long01,450.0,0.5,900,781.0
long01,400.0,0.5,800,781.0
long01,350.0,0.5,700,781.0
long01,300.0,0.5,600,794.0
long01,250.0,0.5,500,767.0
long01,200.0,0.5,400,784.0
long01,150.0,0.5,300,802.0
long01,100.0,0.5,200,797.0
long01,50.0,0.5,100,817.0
long01,100.0,0.1,1000,786.0
long01,100.0,0.09000000000000001,1111,774.0
long01,100.0,0.08000000000000002,1249,773.0
long01,100.0,0.07000000000000002,1428,769.0
long01,100.0,0.06000000000000002,1666,763.0
long01,100.0,0.05000000000000002,1999,786.0
long01,100.0,0.040000000000000015,2499,768.0
long01,100.0,0.030000000000000013,3333,767.0
long01,100.0,0.02000000000000001,4999,754.0
long01,100.0,0.01000000000000001,9999,752.0
long01,100.0,0.1,1000,794.0
